time_ns,resetn,m_valid,m_write,m_addr,m_ready,m_rdata,nn_valid,nn_write,nn_addr,nn_ready,nn_rdata,axis_start,axis_busy,axis_done,in_tvalid,in_tready,in_tdata,in_tlast,out_tvalid,out_tready,out_tdata,out_tlast,weight0,weight1,weight2,weight3,weight4,input0,input1,result0,result1
5000,0,0,0,00000000,0,00000000,0,0,000,0,00000000,0,0,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
15000,0,0,0,00000000,0,00000000,0,0,000,0,00000000,0,0,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
25000,0,0,0,00000000,0,00000000,0,0,000,0,00000000,0,0,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
35000,0,0,0,00000000,0,00000000,0,0,000,0,00000000,0,0,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
45000,0,0,0,00000000,0,00000000,0,0,000,0,00000000,0,0,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
55000,1,0,0,00000000,0,00000000,0,0,000,0,00000000,0,0,0,0,0,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
65000,1,0,0,00000000,0,00000000,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
75000,1,0,0,00000000,0,00000000,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
85000,1,0,0,00000000,0,00000000,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
95000,1,0,0,00000000,0,00000000,0,0,000,0,00000000,0,0,0,0,1,0000000000000000,0,0,0,0000000000000000,0,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000
